0:  	RAISE gave 	97.36497348% info
1:  	ARISE gave 	97.24726989% info
2:  	IRATE gave 	97.24495613% info
3:  	ORATE gave 	97.240142% info
4:  	AROSE gave 	97.14811377% info
5:  	ALTER gave 	96.97659643% info
6:  	SANER gave 	96.97081201% info
7:  	LATER gave 	96.96659498% info
8:  	SNARE gave 	96.92882833% info
9:  	STARE gave 	96.92031964% info
10:  	TARES gave 	96.90957181% info
11:  	SLATE gave 	96.90830297% info
12:  	ALERT gave 	96.90718341% info
13:  	LASER gave 	96.8845682% info
14:  	CRATE gave 	96.85098125% info
15:  	TOILE gave 	96.84486096% info
16:  	RATES gave 	96.83250843% info
17:  	CARTE gave 	96.82437293% info
18:  	TRACE gave 	96.80257873% info
19:  	STOAE gave 	96.76473744% info
20:  	REALS gave 	96.7628715% info
21:  	TEARS gave 	96.74092803% info
22:  	CARET gave 	96.73435991% info
23:  	STALE gave 	96.73417332% info
24:  	SLIER gave 	96.71924579% info
25:  	TALES gave 	96.71010267% info
26:  	NARES gave 	96.70987876% info
27:  	AISLE gave 	96.70890847% info
28:  	LITRE gave 	96.70312405% info
29:  	LEARN gave 	96.68939072% info
30:  	ALONE gave 	96.66681283% info
31:  	LEANT gave 	96.66263312% info
32:  	ALOES gave 	96.65849073% info
33:  	ASTER gave 	96.62699364% info
34:  	LEAST gave 	96.62247806% info
35:  	ANOLE gave 	96.60124365% info
36:  	CRANE gave 	96.59863133% info
37:  	CARNE gave 	96.597773% info
38:  	EARLS gave 	96.59057046% info
39:  	ATONE gave 	96.58922699% info
40:  	TRAIL gave 	96.56814185% info
41:  	REACT gave 	96.55160961% info
42:  	TEALS gave 	96.54552664% info
43:  	TILER gave 	96.53082302% info
44:  	NOIRE gave 	96.52854657% info
45:  	NEARS gave 	96.51906759% info
46:  	SCARE gave 	96.51488788% info
47:  	CATER gave 	96.50884223% info
48:  	TRADE gave 	96.5040281% info
49:  	RENAL gave 	96.49425057% info
50:  	SAYER gave 	96.49178753% info
51:  	STORE gave 	96.49160093% info
52:  	PRATE gave 	96.47947231% info
53:  	OATEN gave 	96.47775565% info
54:  	TRIES gave 	96.47715854% info
55:  	NEATO gave 	96.47506869% info
56:  	CARES gave 	96.4663734% info
57:  	LANES gave 	96.45028899% info
58:  	ANILE gave 	96.44916942% info
59:  	EARNS gave 	96.43633175% info
60:  	SNORE gave 	96.43185349% info
61:  	SOLAR gave 	96.42188936% info
62:  	ANISE gave 	96.41849335% info
63:  	TRIAL gave 	96.41718719% info
64:  	LOSER gave 	96.40759625% info
65:  	LORES gave 	96.40438683% info
66:  	ROAST gave 	96.39931147% info
67:  	LITER gave 	96.39363901% info
68:  	ALIEN gave 	96.38889951% info
69:  	ROLES gave 	96.38356292% info
70:  	TEARY gave 	96.38162234% info
71:  	OILER gave 	96.36893394% info
72:  	SIREN gave 	96.35863394% info
73:  	SAUTE gave 	96.35691728% info
74:  	TIRES gave 	96.35482742% info
75:  	RILES gave 	96.35083431% info
76:  	STOLE gave 	96.34852054% info
77:  	GRATE gave 	96.34639337% info
78:  	TAELS gave 	96.33754881% info
79:  	NATES gave 	96.33710098% info
80:  	HALER gave 	96.33254808% info
81:  	RINSE gave 	96.32780859% info
82:  	TARED gave 	96.32583069% info
83:  	RACES gave 	96.32474845% info
84:  	TESLA gave 	96.32172562% info
85:  	ORALS gave 	96.31191077% info
86:  	CASTE gave 	96.31067925% info
87:  	SHARE gave 	96.30791766% info
88:  	SARGE gave 	96.3060144% info
89:  	LACER gave 	96.30426041% info
90:  	SITAR gave 	96.2945202% info
91:  	LEANS gave 	96.28578759% info
92:  	TRICE gave 	96.28291404% info
93:  	TENOR gave 	96.2524992% info
94:  	CANOE gave 	96.2491405% info
95:  	PARSE gave 	96.24134087% info
96:  	ROUTE gave 	96.23753434% info
97:  	CANER gave 	96.23671333% info
98:  	STAIR gave 	96.23133942% info
99:  	DARES gave 	96.22566696% info
100:  	SCALE gave 	96.22339051% info
101:  	TONER gave 	96.20812711% info
102:  	RITES gave 	96.20756733% info
103:  	RAILS gave 	96.20753001% info
104:  	LAYER gave 	96.20614921% info
105:  	SONAR gave 	96.20461914% info
106:  	HATER gave 	96.20073798% info
107:  	HARES gave 	96.19689414% info
108:  	LAIRS gave 	96.1924532% info
109:  	DATER gave 	96.18972893% info
110:  	CLEAR gave 	96.18666878% info
111:  	ACRES gave 	96.18588509% info
112:  	FAIRE gave 	96.18506407% info
113:  	GLARE gave 	96.17498799% info
114:  	SATED gave 	96.17110683% info
115:  	SAGER gave 	96.17103219% info
116:  	RATED gave 	96.17002458% info
117:  	TRAIN gave 	96.16547169% info
118:  	OSIER gave 	96.15991118% info
119:  	RIALS gave 	96.15890357% info
120:  	ANTES gave 	96.15591807% info
121:  	ADORE gave 	96.15364162% info
122:  	LONER gave 	96.15349234% info
123:  	HEART gave 	96.14934995% info
124:  	PLATE gave 	96.14293111% info
125:  	STILE gave 	96.14181155% info
126:  	TAPER gave 	96.13748257% info
127:  	LIERS gave 	96.13710938% info
128:  	UNATE gave 	96.12927242% info
129:  	TAROS gave 	96.12438366% info
130:  	PATER gave 	96.12401047% info
131:  	AIRED gave 	96.11124743% info
132:  	OARED gave 	96.10986663% info
133:  	LARGE gave 	96.10501518% info
134:  	ROUSE gave 	96.09796193% info
135:  	LIARS gave 	96.08844562% info
136:  	UREAS gave 	96.08807244% info
137:  	SABRE gave 	96.08527352% info
138:  	TERNS gave 	96.08116845% info
139:  	PALER gave 	96.07702606% info
